full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,GM,spec_B,spec_T,full_name_gaia,da_dt,e_da_dt,SNR,FAccept,normalized_name,number_only,clean_name
(1998 SD9),3014184,True,False,0.702,0.504,2.99,0.348,1.06,215.0,1.67,233.0,24.09,,,,,,,1998 SD9,-0.0197061,0.000106344,185.305,1,1998 sd9,1998,1998 SD9
99942 Apophis (2004 MN4),20099942,True,True,0.922,0.191,3.34,0.746,1.1,324.0,1.11,313.0,19.09,0.34,0.35,30.56,,,,99942,-0.00132587,1.07888e-05,122.894,1,99942,99942,99942
480883 (2001 YE4),20480883,True,True,0.677,0.54,4.85,0.311,1.04,203.0,1.77,193.0,20.92,,,,,,,480883,-0.00504483,5.33209e-05,94.6127,1,480883,480883,480883
2340 Hathor (1976 UA),20002340,True,True,0.844,0.45,5.86,0.464,1.22,283.0,1.27,202.0,20.43,0.3,,3.35,,,,2340,-0.00173809,3.04332e-05,57.1118,1,2340,2340,2340
524522 Zoozve (2002 VE68),20524522,True,True,0.724,0.41,9.04,0.427,1.02,225.0,1.6,329.0,20.54,,,13.5,,,,524522,-0.00359165,6.30856e-05,56.9329,1,524522,524522,524522
(2002 BF25),3102784,True,False,1.07,0.222,6.31,0.837,1.31,407.0,0.885,223.0,22.62,0.152,0.1,,,,,2002 BF25,0.00719033,0.000127596,56.3522,1,2002 bf25,2002,2002 BF25
(2012 UR158),3614980,True,True,2.23,0.858,3.19,0.317,4.15,1220.0,0.296,310.0,20.67,0.629,0.023,,,,,2012 UR158,-0.814757,0.0181918,44.787,Rej.,2012 ur158,2012,2012 UR158
523599 (2003 RM),20523599,True,False,2.91,0.606,11.0,1.15,4.68,1820.0,0.198,172.0,19.64,,,,,,,523599,0.082924,0.0019957,41.5513,Rej.,523599,523599,523599
(2000 EB14),3031176,True,False,0.896,0.496,11.6,0.452,1.34,310.0,1.16,35.3,23.43,,,1.79,,,,2000 EB14,-0.0160609,0.000407499,39.4134,1,2000 eb14,2000,2000 EB14
483656 (2005 ES70),20483656,True,False,0.763,0.386,20.8,0.468,1.06,244.0,1.48,211.0,23.77,,,1.69,,,,483656,-0.00800644,0.000219259,36.5159,1,483656,483656,483656
(2009 BD),3444297,True,False,1.06,0.0519,1.27,1.01,1.12,400.0,0.9,120.0,28.1,,,,,,,2009 BD,-0.0667463,0.00209795,31.815,Rej.,2009 bd,2009,2009 BD
480808 (1994 XL1),20480808,True,True,0.671,0.526,28.2,0.318,1.02,201.0,1.79,317.0,20.64,,,,,,,480808,-0.00327779,0.00011468,28.582,1,480808,480808,480808
152563 (1992 BF),20152563,True,False,0.908,0.272,7.25,0.661,1.15,316.0,1.14,242.0,19.71,0.272,0.287,32.0,,,,152563,-0.00126754,4.44032e-05,28.5462,1,152563,152563,152563
(1995 CR),3005973,True,True,0.907,0.868,4.08,0.119,1.69,315.0,1.14,169.0,21.76,,,2.66,,,,1995 CR,-0.00866538,0.000303574,28.5445,1,1995 cr,1995,1995 CR
(2010 VQ),3550139,True,False,0.861,0.197,0.346,0.691,1.03,292.0,1.23,110.0,27.72,,,,,,,2010 VQ,-0.0405427,0.00147993,27.395,1,2010 vq,2010,2010 VQ
441987 (2010 NY65),20441987,True,True,1.0,0.37,11.5,0.632,1.38,367.0,0.98,208.0,21.36,0.228,0.071,4.9706,,,,441987,-0.00183072,6.85175e-05,26.719,1,441987,441987,441987
679648 (2019 XS),20679648,True,False,1.01,0.326,4.45,0.678,1.33,369.0,0.977,68.8,23.85,,,2.35,,,,2019 XS,-0.00773308,0.00033819,22.8661,1,2019 xs,2019,2019 XS
(2002 JR100),3126183,True,False,0.924,0.299,3.71,0.648,1.2,324.0,1.11,278.0,24.3,0.028,0.441,,,,,2002 JR100,-0.013768,0.000631808,21.7914,1,2002 jr100,2002,2002 JR100
612197 (2000 WP19),20612197,True,False,0.854,0.288,7.68,0.608,1.1,288.0,1.25,347.0,22.93,,,,,,,612197,0.00961797,0.000443248,21.6989,1,612197,612197,612197
(2018 CW2),3799312,True,False,0.76,0.422,5.1,0.439,1.08,242.0,1.49,123.0,25.66,,,,,,,2018 CW2,-0.0291045,0.00141881,20.5134,1,2018 cw2,2018,2018 CW2
(2003 BN4),3147315,True,False,1.27,0.172,5.59,1.05,1.49,523.0,0.688,335.0,24.26,,,,,,,2003 BN4,-0.0071304,0.000370508,19.2449,1,2003 bn4,2003,2003 BN4
(2003 FY6),3151655,True,False,0.73,0.582,6.6,0.305,1.15,228.0,1.58,222.0,22.61,,,,,,,2003 FY6,-0.00516518,0.000274183,18.8384,1,2003 fy6,2003,2003 FY6
(2001 CQ36),3070801,True,False,0.937,0.177,1.26,0.771,1.1,332.0,1.09,195.0,22.74,,,,,,,2001 CQ36,-0.00670924,0.000358476,18.716,1,2001 cq36,2001,2001 CQ36
829223 (2006 CT),20829223,True,False,1.1,0.231,2.74,0.844,1.35,419.0,0.858,194.0,22.28,,,16.69,,,,2006 CT,-0.00388821,0.000208268,18.6693,Rej.,2006 ct,2006,2006 CT
